id,company,sentiment_range,title,setiment_label,setiment_score,sentiment_NB
2,Morrisons,0.43,Morrisons book second consecutive quarter of sales growth,pos,1,14.0
3,IMI,-0.34400000000000003,IMI posts drop in first-quarter organic revenue; warns on full year,neg,0,7.0
4,Glencore,0.34,"Glencore to refinance its short-term debt early, shares rise",pos,1,13.0
5,Ryanair,0.259,EasyJet attracts more passengers in June but still lags Ryanair,pos,1,13.0
6,Barclays,-0.231,Barclays 'bad bank' chief to step down,neg,0,8.0
7,BP,0.113,Bilfinger Industrial Services win Â£100m BP contract extension,pos,1,11.0
8,Bilfinger Industrial Services,0.424,Bilfinger Industrial Services win Â£100m BP contract extension,pos,1,14.0
9,Barclays,-0.373,Barclays share price subdued as bank faces fresh forex probe,neg,0,6.0
10,Centrica PLC,0.111,Centrica prepared for takeover approach - chairman,pos,1,11.0
11,Glencore,-0.231,Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,neg,0,8.0
12,Barclays,-0.221,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",neg,0,8.0
13,Kingfisher,0.541,Kingfisher set to open another 200 Screwfix stores,pos,1,15.0
14,Diageo,-0.545,Diageo sales disappoint as currency and comparatives leave bitter taste,neg,0,5.0
15,Smith & Nephew,-0.522,Smith & Nephew recalls hip-replacement components,neg,0,5.0
16,Tesco PLC,-0.775,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,neg,0,2.0
17,Legal & General Group Plc,-0.271,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,neg,0,7.0
18,Tesco PLC,0.09,Here's my 10-point plan to make Tesco great again,pos,1,11.0
19,Schroders,0.052000000000000005,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",pos,1,11.0
20,BP,0.18100000000000002,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,pos,1,12.0
21,Standard Chartered PLC,0.0,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",neg,0,10.0
22,BP,-0.9890000000000001,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",neg,0,0.0
23,Friends Life,0.053,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,pos,1,11.0
24,L&G,-0.33799999999999997,"L&G still paying price for dividend cut during crisis, chief says",neg,0,7.0
25,Admiral,0.314,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,pos,1,13.0
26,Whitbread,0.139,"Whitbread eyes savings, price rises to offset wage rises",pos,1,11.0
27,Kingfisher,0.653,Britain's FTSE lifted by solid Kingfisher,pos,1,17.0
28,Novo Nordisk,0.099,Novo Nordisk and AstraZeneca seek tonic from key drug trials,pos,1,11.0
29,Mr Bricolage,-0.311,Kingfisher takeover of Mr Bricolage could hit a brick wall,neg,0,7.0
30,BP,0.236,BP wins right to appeal some Gulf spill damages claims,pos,1,12.0
31,Dixons Carphone,0.478,Dixons Carphone profit boost on strong sales,pos,1,15.0
32,Sky,0.128,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,pos,1,11.0
33,Johnson Matthey,0.407,Johnson Matthey profit lifted by metals unit sale,pos,1,14.0
34,Credit Suisse,-0.902,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",neg,0,1.0
35,Shire,-0.17400000000000002,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,neg,0,8.0
36,Shire,0.43700000000000006,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,pos,1,14.0
37,Standard Chartered PLC,0.166,Standard Chartered considering move from UK,pos,1,12.0
38,Kirin,0.24,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,pos,1,12.0
39,Shell,-0.019,US cancels Arctic offshore lease sale after Shell drops interest,neg,0,10.0
40,Baxalta,0.203,Shire CEO steps up drive to get Baxalta board talking,pos,1,12.0
41,BP,-0.2,UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,neg,0,8.0
42,Vale,-0.131,Brazil Vale says will appeal ruling to block assets for dam burst,neg,0,9.0
43,BHP Billiton,-0.938,"BHP Billiton posts big loss, slashes dividend",neg,0,1.0
44,Glencore,-0.9129999999999999,Reaching New Depths: Glencore's $5bn Loss,neg,0,1.0
4,EasyJet,0.778,UPDATE 2-EasyJet sees better first half on lower fuel bill,pos,1,18.0
46,Royal Mail,0.476,Britain's FTSE advances as Royal Mail rises,pos,1,15.0
47,Haris & Hoole,0.30000000000000004,CompaniesTesco sheds Harris & Hoole coffee shops,pos,1,13.0
48,Standard Chartered PLC,0.509,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,pos,1,15.0
49,Citigroup,0.37799999999999995,Fitch: Citi's 1Q'15 Reports Much Improved Results,pos,1,14.0
50,Hammerson,0.659,Landlord Hammerson's NAV rises on increased leasing activity,pos,1,17.0
51,Metro Bank,0.29600000000000004,CompaniesMetro Bank raises Â£400m ahead of London listing,pos,1,13.0
52,Morrisons,0.14300000000000002,New Morrisons duo get former boss's support to diffuse investor tension,pos,1,11.0
53,WPP,0.6679999999999999,WPP Q1 Revenue Rises Over 8% - Quick Facts,pos,1,17.0
54,Barclays,0.309,Barclays raises 603 million pounds from African business share sale,pos,1,13.0
55,AXA,-0.39799999999999996,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,neg,0,6.0
56,Royal Bank of Scotland Group plc,0.425,Dividends Unleashed At Royal Bank of Scotland Group plc,pos,1,14.0
57,Standard Chartered PLC,0.128,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",pos,1,11.0
58,BP,0.326,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",pos,1,13.0
59,Royal Bank of Scotland Group plc,-0.941,RBS and Barclays shares temporarily suspended amid heavily losses,neg,0,1.0
60,BP,-0.376,BP sees Q1 earnings slide as low oil prices take their toll,neg,0,6.0
61,Johnson Matthey,0.22399999999999998,Johnson Matthey revs up on clean air drive,pos,1,12.0
62,Tesco PLC,0.173,Tesco boss urges rethink on minimum wage and business rates,pos,1,12.0
63,Tesco PLC,0.161,Is It Worth Investing In Tesco PLC And Prudential plc Now?,pos,1,12.0
64,Royal Bank of Scotland Group plc,0.08900000000000001,RBS will reportedly appoint Howard Davies as its next chairman,pos,1,11.0
65,Shell,-0.33799999999999997,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,neg,0,7.0
66,Petrofac,-0.34299999999999997,Petrofac books further Â£30m cost for Shetland gas terminal delays,neg,0,7.0
67,G4S,-0.32299999999999995,G4S suspends workers at UK youth centre over allegations of unnecessary force,neg,0,7.0
68,BAE Systems,0.217,TalkTalk hires BAE Systems to investigate cyber attack,pos,1,12.0
69,Lloyds Banking Group PLC,-0.311,Osborne extends Lloyds sell-off plan,neg,0,7.0
70,Dairy Crest,-0.902,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,neg,0,1.0
71,Dixons Carphone,0.364,CompaniesLord Livingston joins Dixons Carphone,pos,1,14.0
72,Deloitte,0.26,Tesco names Deloitte as new auditor after accounting scandal,pos,1,13.0
73,Barclays,-0.521,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,neg,0,5.0
74,Severn Trent,0.526,Severn Trent share price rises as first half profit inches up as customer ...,pos,1,15.0
75,Clinigen,0.32799999999999996,Clinigen chosen by AstraZeneca to manage access programme for next ...,pos,1,13.0
76,Valeant Pharmaceuticals International,-0.044000000000000004,Valeant's Pearson says timing of return uncertain,neg,0,10.0
77,Aviva plc,-0.78,Aviva suspends trading in Â£1.8bn UK property fund,neg,0,2.0
78,Horizonte,0.182,Horizonte acquires neighbouring Glencore nickel property in Brazil,pos,1,12.0
79,Johnston Press,0.155,Indy future in doubt as Johnston Press lines up deal for 'i',pos,1,12.0
80,Desano,0.27699999999999997,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,pos,1,13.0
81,BHP Billiton,0.08199999999999999,"BHP Billiton half-year profit falls, beats forecasts",pos,1,11.0
82,Royal Dutch Shell,0.259,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,pos,1,13.0
83,Barclays,-0.25,Barclays to speed up cost-cuts after new mis-selling hit,neg,0,8.0
84,UBI,0.133,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",pos,1,11.0
85,HSBC,-0.594,HSBC Hit by Fresh Details of Tax Evasion Claims,neg,0,4.0
86,BPI,-0.092,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",neg,0,9.0
87,BPI,0.221,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",pos,1,12.0
88,Wolseley,-0.08700000000000001,Wolseley says Nicholls won't join as finance chief,neg,0,9.0
89,Royal Mail,-0.16399999999999998,UK lawmakers warn Royal Mail against further price hikes,neg,0,8.0
90,Standard Chartered PLC,-0.39,StanChart and RBS struggle in Bank of England stress tests,neg,0,6.0
91,Standard Chartered PLC,-0.155,StanChart may see white knight takeover on painful recovery - CLSA,neg,0,8.0
92,AstraZeneca,-0.392,AstraZeneca suffers setback after drug fails to treat eye cancer,neg,0,6.0
93,AstraZeneca,-0.6659999999999999,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,neg,0,3.0
94,Kingfisher,0.368,Retail giant Kingfisher reports 'solid' start to the year,pos,1,14.0
95,Unilever,-0.264,Unilever Continues to Battle Soft Demand,neg,0,7.0
96,Frensillo Production,0.21,Fresnillo Production Surges But Profit Hit By Lower Prices,pos,1,12.0
97,BG,0.05,Helge Lund moves to BG a month early,pos,1,10.0
98,Kipa,-0.192,"Tesco set to sell Kipa, Giraffe businesses - Sky News",neg,0,8.0
99,Royal Bank of Scotland Group plc,-0.38299999999999995,"RBS warns of higher misconduct charges, obstacles ahead",neg,0,6.0
100,DBS,0.307,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",pos,1,13.0
101,Standard Life,-0.407,Standard Life slips as Greek worries peg back Britain's FTSE,neg,0,6.0
102,Glencore,0.466,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,pos,1,15.0
103,Royal Bank of Scotland Group plc,-0.28500000000000003,FCA bans former RBS Libor submitter,neg,0,7.0
104,SABMiller,0.127,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,pos,1,11.0
